round_id,playerName,chips,reloadCount,cards,hand,position,act_deal,bet_deal,act_flop,bet_flop,act_turn,bet_turn,act_river,bet_river,allIn,folded,rank,message,winMoney
26,PCB,10600,1,♣7 ♥2,♣7 ♥2 ♥10 ♥J ♦3 ♣8 ♦Q,SB,,,,,,,call,640,False,False,6.0432,High Card,420.0
26,A_P_T^T,220,0,♠K ♠5,♠K ♠5 ♥10 ♥J ♦3 ♣8 ♦Q,BB,,,,,,,,220,True,False,7.0928,High Card,440.0
27,(=^-Ω-^=),1180,2,♥7 ♠6,♥7 ♠6 ♣6 ♦5 ♠2 ♣3 ♦2,BB,,,,,,,,1180,True,False,28.0016,Two Pair,1480.0
27,ヽ(=^･ω･^=)丿,0,2,,,,,,,,,,,0,False,False,,,0.0
27,Chicken Dinner,0,2,,,,,,,,,,,0,False,False,,,0.0
27,PCB,10380,1,♦3 ♥5,♦3 ♥5 ♣6 ♦5 ♠2 ♣3 ♦2,,,,,,,,call,1180,False,False,26.0008,Two Pair,0.0
27,A_P_T^T,440,0,♥J ♣2,♥J ♣2 ♣6 ♦5 ♠2 ♣3 ♦2,SB,,,,,,,,440,True,False,100.0264,Three of a Kind,1320.0
28,(=^-Ω-^=),1480,2,♥9 ♦6,♥9 ♦6 ♦7 ♣9 ♥K ♣7 ♠2,SB,,,,,,,call,1280,False,False,48.1024,Two Pair,2560.0
28,ヽ(=^･ω･^=)丿,0,2,,,,,,,,,,,0,False,False,,,0.0
28,Chicken Dinner,0,2,,,,,,,,,,,0,False,False,,,0.0
28,PCB,9200,1,♣3 ♥Q,♣3 ♥Q ♦7 ♣9 ♥K ♣7 ♠2,BB,,,,,,,fold,1280,False,True,14.16,Pair,0.0
28,A_P_T^T,1320,0,♠8 ♣2,♠8 ♣2 ♦7 ♣9 ♥K ♣7 ♠2,,,,,,,,fold,0,False,True,32.1024,Two Pair,0.0
29,(=^-Ω-^=),2760,2,♥9 ♥7,♥9 ♥7 ♠6 ♣8 ♠A ♣6 ♣3,,,,,,,,allin,2760,True,False,13.2144,Pair,1440.0
29,ヽ(=^･ω･^=)丿,0,2,,,,,,,,,,,0,False,False,,,0.0
29,Chicken Dinner,0,2,,,,,,,,,,,0,False,False,,,0.0
29,PCB,7920,1,♥2 ♦K,♥2 ♦K ♠6 ♣8 ♠A ♣6 ♣3,SB,,,,,,,fold,1280,False,True,13.3104,Pair,0.0
29,A_P_T^T,1320,0,♠K ♣9,♠K ♣9 ♠6 ♣8 ♠A ♣6 ♣3,BB,,,,,,,,1320,True,False,13.3136,Pair,3920.0
30,(=^-Ω-^=),1440,2,♦9 ♠4,♦9 ♠4 ♥6 ♣3 ♠J ♣8 ♠Q,BB,,1440.0,,,,,,0,True,False,6.036,High Card,0.0
30,ヽ(=^･ω･^=)丿,0,2,,,,,0.0,,,,,,0,False,False,,,0.0
30,Chicken Dinner,0,2,,,,,0.0,,,,,,0,False,False,,,0.0
30,PCB,6640,1,♥J ♥9,♥J ♥9 ♥6 ♣3 ♠J ♣8 ♠Q,,call,1440.0,,,,,call,2480,False,False,18.0608,Pair,0.0
30,A_P_T^T,3920,0,♦A ♦J,♦A ♦J ♥6 ♣3 ♠J ♣8 ♠Q,SB,call,1440.0,,,,,allin,2480,True,False,18.2592,Pair,9280.0
