tableNumber,game_id,round_id,smallBlind,playerName,isHuman,isOnline,isSurvive,chips,reloadCount,folded,allIn,position,cards,board,rank,message,winMoney
150,20180810125958249,18,80,ea8bb19d0db6e3db8ef698b71fa02c00,False,True,True,6030,0,False,False,D,5S AH,KD 8D 2C 3D AC,21.106,Pair,2048.0
150,20180810125958249,19,80,8c55ef579f68a40624f9c00488044e9c,False,True,False,0,0,False,False,,,QH 5D 7D TD TC,,,0.0
150,20180810125958249,19,80,e55c711e6dbac6abb296dd1379310b58,False,True,True,2389,0,True,False,D,3H 2H,QH 5D 7D TD TC,17.0532,Pair,0.0
150,20180810125958249,19,80,1c7e0ca445fee61ec9caabb5003b044b,False,True,True,2469,0,True,False,SB,9H 6D,QH 5D 7D TD TC,17.0592,Pair,0.0
150,20180810125958249,19,80,4e0879c5e51ac597357450b296c5bc3b,False,True,True,2409,0,True,False,BB,2S 4C,QH 5D 7D TD TC,17.0532,Pair,0.0
150,20180810125958249,19,80,71b3f31e76d1a5888a5652aba6474197,False,True,True,4463,0,True,False,1,5S 9S,QH 5D 7D TD TC,53.0512,Two Pair,0.0
150,20180810125958249,19,80,ea8bb19d0db6e3db8ef698b71fa02c00,False,True,True,6270,0,False,False,2,JH TH,QH 5D 7D TD TC,108.0768,Three of a Kind,1988.0
150,20180810125958249,20,80,8c55ef579f68a40624f9c00488044e9c,False,True,False,0,0,False,False,,,6S AC TS 9H 8D,,,0.0
150,20180810125958249,20,80,e55c711e6dbac6abb296dd1379310b58,False,True,True,2389,0,True,False,2,QD KD,6S AC TS 9H 8D,8.1728,High Card,0.0
150,20180810125958249,20,80,1c7e0ca445fee61ec9caabb5003b044b,False,True,True,2469,0,True,False,D,4S JH,6S AC TS 9H 8D,8.048,High Card,0.0
150,20180810125958249,20,80,4e0879c5e51ac597357450b296c5bc3b,False,True,True,2329,0,True,False,SB,4C 4H,6S AC TS 9H 8D,11.224,Pair,0.0
150,20180810125958249,20,80,71b3f31e76d1a5888a5652aba6474197,False,True,True,4303,0,True,False,BB,8C TC,6S AC TS 9H 8D,56.2048,Two Pair,0.0
150,20180810125958249,20,80,ea8bb19d0db6e3db8ef698b71fa02c00,False,True,True,6510,0,False,False,1,QH 2D,6S AC TS 9H 8D,8.0736,High Card,5022.0
150,20180810125958249,21,80,8c55ef579f68a40624f9c00488044e9c,False,True,False,0,0,False,False,,,QC 5H 5C QH 2D,,,0.0
150,20180810125958249,21,80,e55c711e6dbac6abb296dd1379310b58,False,True,True,2389,0,True,False,1,3H 6S,QC 5H 5C QH 2D,70.0008,Two Pair,0.0
150,20180810125958249,21,80,1c7e0ca445fee61ec9caabb5003b044b,False,True,True,2309,0,True,False,2,KS 9D,QC 5H 5C QH 2D,70.1024,Two Pair,0.0
150,20180810125958249,21,80,4e0879c5e51ac597357450b296c5bc3b,False,True,True,2169,0,True,False,D,QS 6H,QC 5H 5C QH 2D,247.0,Full House,0.0
150,20180810125958249,21,80,71b3f31e76d1a5888a5652aba6474197,False,True,True,4223,0,True,False,SB,3C 2C,QC 5H 5C QH 2D,70.0001,Two Pair,0.0
150,20180810125958249,21,80,ea8bb19d0db6e3db8ef698b71fa02c00,False,True,True,6910,0,False,False,BB,9S 8H,QC 5H 5C QH 2D,70.0064,Two Pair,2268.0
150,20180810125958249,22,80,8c55ef579f68a40624f9c00488044e9c,False,True,False,0,0,False,False,,,4H AH QC KD AS,,,0.0
150,20180810125958249,22,80,e55c711e6dbac6abb296dd1379310b58,False,True,True,2229,0,True,False,BB,JD 2S,4H AH QC KD AS,21.1792,Pair,0.0
150,20180810125958249,22,80,1c7e0ca445fee61ec9caabb5003b044b,False,True,True,2149,0,True,False,1,JH 2H,4H AH QC KD AS,21.1792,Pair,0.0
150,20180810125958249,22,80,4e0879c5e51ac597357450b296c5bc3b,False,True,True,2169,0,True,False,2,4C 6S,4H AH QC KD AS,90.1024,Two Pair,0.0
150,20180810125958249,22,80,71b3f31e76d1a5888a5652aba6474197,False,True,True,4063,0,True,False,D,9H QS,4H AH QC KD AS,98.1024,Two Pair,0.0
150,20180810125958249,22,80,ea8bb19d0db6e3db8ef698b71fa02c00,False,True,True,7390,0,False,False,SB,KS 5C,4H AH QC KD AS,99.0512,Two Pair,1788.0
150,20180810125958249,23,160,8c55ef579f68a40624f9c00488044e9c,False,True,False,0,0,False,False,,,4C 8H AD 3S QD,,,0.0
150,20180810125958249,23,160,e55c711e6dbac6abb296dd1379310b58,False,True,True,2069,0,True,False,SB,8C 6C,4C 8H AD 3S QD,15.2568,Pair,0.0
150,20180810125958249,23,160,1c7e0ca445fee61ec9caabb5003b044b,False,True,True,1829,0,True,False,BB,QH 9S,4C 8H AD 3S QD,19.2144,Pair,0.0
150,20180810125958249,23,160,4e0879c5e51ac597357450b296c5bc3b,False,True,True,1849,0,True,False,1,KC 7C,4C 8H AD 3S QD,8.1584,High Card,0.0
150,20180810125958249,23,160,71b3f31e76d1a5888a5652aba6474197,False,True,True,3743,0,True,False,2,QS TC,4C 8H AD 3S QD,19.2208,Pair,0.0
150,20180810125958249,23,160,ea8bb19d0db6e3db8ef698b71fa02c00,False,True,True,8510,0,False,False,D,AC 3C,4C 8H AD 3S QD,89.0512,Two Pair,3448.0
150,20180810125958249,24,160,8c55ef579f68a40624f9c00488044e9c,False,True,False,0,0,False,False,,,2C 2H 6S 8S JH,,,0.0
150,20180810125958249,24,160,e55c711e6dbac6abb296dd1379310b58,False,True,True,2069,0,True,False,D,7S 4D,2C 2H 6S 8S JH,9.0304,Pair,0.0
